2002-02-25 00:07:24,446	mayra	aaa9HZw-GuEKah	login	ace	null	null	localhost.localdomain	127.0.0.1	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 01:09:49,242	mayra	aaahZ1ReZLKpO-	login	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 01:13:22,748	mayra	aaahZ1ReZLKpO-	login	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 01:19:47,909	mayra	aaahZ1ReZLKpO-	login	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 03:01:09,447	mayra	aaahZ1ReZLKpO-	login	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 03:06:14,577	mayra	aaahZ1ReZLKpO-	login	ace	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 03:39:12,294	mayra	aaahZ1ReZLKpO-	login	ace	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 03:45:41,427	mayra	aaahZ1ReZLKpO-	login	ace	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 03:50:27,495	mayra	aaahZ1ReZLKpO-	login	ace	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 03:52:30,487	mayra	aaahZ1ReZLKpO-	login	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 04:03:53,265	mayra	aaahZ1ReZLKpO-	login	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 04:13:59,286	mayra	aaahZ1ReZLKpO-	login	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 04:15:46,804	mayra	aaahZ1ReZLKpO-	logout	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 04:15:57,858	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 04:22:49,097	mayra	aaahZ1ReZLKpO-	login	ace	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 04:25:53,254	mayra	aaahZ1ReZLKpO-	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 04:26:04,216	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 04:29:18,041	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 04:29:59,076	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 04:36:58,584	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 04:57:52,002	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 05:01:23,415	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 05:04:29,434	mayra	aaahZ1ReZLKpO-	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 05:04:37,390	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 05:13:45,637	mayra	aaahZ1ReZLKpO-	login	ace	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 05:32:42,604	mayra	aaahZ1ReZLKpO- aaahZ1ReZLKpO-	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 05:32:49,521	mayra	aaahZ1ReZLKpO- aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 05:46:37,877	mayra	aaahZ1ReZLKpO-	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 05:46:46,229	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:02:22,020	mayra	aaahZ1ReZLKpO-	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:02:30,395	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:05:18,085	mayra	aaahZ1ReZLKpO- aaahZ1ReZLKpO-	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:05:23,807	mayra	aaahZ1ReZLKpO- aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:06:40,257	mayra	aaahZ1ReZLKpO- aaahZ1ReZLKpO-	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:10:00,648	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:10:57,693	mayra	aaahZ1ReZLKpO-	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
