"Granteeid","Vendorcode","Grantee","Abbrev","Region","State","Manager","Rep","Contact","Phone","Fax","Email","Comment","Transfer","Transtime","Transno","Updtdate","Updtflag","Addstamp","Newstart"
"0","1344","ANDROSCOGGIN VALLEY COUNCIL OF GOVERNMENTS                            ","ANDROSCOGGIN VAL.COG","01","ME","                                        ","                                        ","                                        ","2077839186       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-15","false","07/16/1999LBVXA204 Pushout              ","false"
"0","1944","AROOSTOOK REGIONAL TRANSPORTATION  SYSTEM                             ","AROOSTOOK    RTS    ","01","ME","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW4M204 Pushout              ","false"
"0","2155","BANGOR, CITY OF                                                       ","BANGOR CTY          ","01","ME","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVHO204 Pushout              ","false"
"0","5225","BENNINGTON COUNTY REGIONAL COMMISSION                                 ","BCIC                ","01","VT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVIK204 Pushout              ","false"
"0","1362","BERKSHIRE COUNTY REGIONAL PLANNING COMMISSION                         ","BERKSHIRE RPC       ","01","MA","                                        ","                                        ","                                        ","4134991521       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVOR204 Pushout              ","false"
"0","1378","BERKSHIRE REGIONAL TRANSIT AUTHORITY                                  ","BRTA                ","01","MA","                                        ","                                        ","                                        ","4134992782       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBW1Y204 Pushout              ","false"
"0","3010","BIDDEFORD-OLD ORCHARD BEACH-SACO TRANSIT COMMITTEE                    ","BIDDEFORD    TRC    ","01","ME","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVO8204 Pushout              ","false"
"0","2070","BRIDGEPORT, CITY OF                                                   ","BRIDGEPORT CTY      ","01","CT","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVPT204 Pushout              ","false"
"0","1370","BROCKTON AREA TRANSIT AUTHORITY                                       ","BAT                 ","01","MA","                                        ","                                        ","                                        ","5085882240       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVJ7204 Pushout              ","false"
"0","2974","BROCKTON, CITY OF                                                     ","BROCKTON CTY        ","01","MA","                                        ","                                        ","                                        ","0000000000       ","                 ","                                                  ","                                                                                                                                                                                                        ","1999-08-25","        ","0","1998-11-03","false","07/16/1999LBVZO204 Pushout              ","false"
